subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,on_view,geometry
Eliza Greenleaf Plummer,1821,"Haverhill, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.7732070310279,-71.0796726032202,"<b>Eliza Greenleaf Plummer</b><br>Haverhill, MA, circa 1821<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRhp3GcPSF1qZ4M_SGOUGuvZvOteIb3pOdctMVFLFYZb5My7QCVpEDZ0J7z2KNaCPQ8fKzTKM1orWvR/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vRhp3GcPSF1qZ4M_SGOUGuvZvOteIb3pOdctMVFLFYZb5My7QCVpEDZ0J7z2KNaCPQ8fKzTKM1orWvR/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.7732070310279, -71.0796726032202)"
Joseph Nichols Gage,1838,"Lawrence, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.708268555721,-71.1676564964886,"<b>Joseph Nichols Gage</b><br>Lawrence, MA, circa 1838<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQxxwbRJWF_wvdY7N3gnvI6usiRa2SxyG9XMR-3HqHyTGwfTaQZ49dtf43Ua4pJoJ1iIbd_qRnpsmlL/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vQxxwbRJWF_wvdY7N3gnvI6usiRa2SxyG9XMR-3HqHyTGwfTaQZ49dtf43Ua4pJoJ1iIbd_qRnpsmlL/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.708268555721, -71.1676564964886)"
Jane Noyes Gage,1838,"Lawrence, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.7046454333359,-71.1692181455235,"<b>Jane Noyes Gage</b><br>Lawrence, MA, circa 1838<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRzMbTkxT62pw_A2TLboTiSQ8q7WpSmjH4NoUG8hiFYzmV_iaNyXp9TagNe7RXeg3ESXS06i8MCPrqm/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vRzMbTkxT62pw_A2TLboTiSQ8q7WpSmjH4NoUG8hiFYzmV_iaNyXp9TagNe7RXeg3ESXS06i8MCPrqm/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.7046454333359, -71.1692181455235)"
Lot Robbins,1820,"Lexington, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4504277822786,-71.222034342336,"<b>Lot Robbins</b><br>Lexington, MA, circa 1820<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSgLZH_0yauxK2rm2WoPjOUPOfS_Plh6IoGWoyOfs0vKRloWRcoC2nnR2jvanImwPbCVph0cd8QKS68/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Now in the collection of the <a href='https://www.lexingtonhistory.org/'>Lexington Historical Society</a></small>",https://docs.google.com/drawings/d/e/2PACX-1vSgLZH_0yauxK2rm2WoPjOUPOfS_Plh6IoGWoyOfs0vKRloWRcoC2nnR2jvanImwPbCVph0cd8QKS68/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Now in the collection of the <a href='https://www.lexingtonhistory.org/'>Lexington Historical Society</a>",yes,no,"c(42.4504277822786, -71.222034342336)"
Thomas Long,1815,"Portland, ME",Rufus Porter,portrait,Bowdoin,portrait,rp,43.6553755189355,-70.2612533584769,"<b>Thomas Long</b><br>Portland, ME, circa 1815<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSfINhJjf3yJfcuGbm_WDFzibmeCfEKsQwno_lMMzUEiNx4EQGZco-SC9Ay3vesFt4zerDE4A1J2av4/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> In the collection of the <a href='https://www.bowdoin.edu/art-museum/'>Bowdoin College Museum of Art</a>, not currently on view.</small>",https://docs.google.com/drawings/d/e/2PACX-1vSfINhJjf3yJfcuGbm_WDFzibmeCfEKsQwno_lMMzUEiNx4EQGZco-SC9Ay3vesFt4zerDE4A1J2av4/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> In the collection of the <a href='https://www.bowdoin.edu/art-museum/'>Bowdoin College Museum of Art</a>, not currently on view.",yes,no,"c(43.6553755189355, -70.2612533584769)"
Child of the Lane Family,1815,"Portland, ME",Rufus Porter,portrait,Bowdoin,portrait,rp,43.6615019522594,-70.2634538365353,"<b>Child of the Lane Family</b><br>Portland, ME, circa 1815<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSVeHVFD1_58KSmdAEhkUdreSjeX9TrTjhABBu25H9Aylgt0zr7fiyXZdDH6PbrSIVR3vKi33WJWpcJ/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vSVeHVFD1_58KSmdAEhkUdreSjeX9TrTjhABBu25H9Aylgt0zr7fiyXZdDH6PbrSIVR3vKi33WJWpcJ/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(43.6615019522594, -70.2634538365353)"
Whitney House,1830,"Harvard, MA",Porter School,mural,Fruitlands Museums,school,school,42.4968313319962,-71.5702702882308,"<b>Whitney House</b><br>Harvard, MA, circa 1830<br>Attributed to  Porter School<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRIt-StjtpveEJ-7qVTEmcwf6KGpVXVmSIjc6E9kv5XwB7YqqCF_oHF-rIb-YVXM0uKAHH8fbffFjXZ/pub?w=960&h=720', width = '300'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman <br> Now on view in the Prospect House Tea Room at the <a href='https://thetrustees.org/place/fruitlands-museum/'>Fruitlands Museum</a></small>",https://docs.google.com/drawings/d/e/2PACX-1vRIt-StjtpveEJ-7qVTEmcwf6KGpVXVmSIjc6E9kv5XwB7YqqCF_oHF-rIb-YVXM0uKAHH8fbffFjXZ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman <br> Now on view in the Prospect House Tea Room at the <a href='https://thetrustees.org/place/fruitlands-museum/'>Fruitlands Museum</a>,yes,no,"c(42.4968313319962, -71.5702702882308)"
Tobias Ricker House,1835,"Buckfield, ME",Porter School,mural,Lefko,school,school,44.2863789900807,-70.3620675067355,"<b>Tobias Ricker House</b><br>Buckfield, ME, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSJcaaYu1qPqLXUloWig7-alVRkRuPhV4PGufLD8Ferg3aAmHjv4yGW4gFF0_Sx9LsWbv5cs01f1Riq/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSJcaaYu1qPqLXUloWig7-alVRkRuPhV4PGufLD8Ferg3aAmHjv4yGW4gFF0_Sx9LsWbv5cs01f1Riq/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.2863789900807, -70.3620675067355)"
Adams Female Academy,1822,"Derry, NH",Porter School,mural,Lefko,school,school,42.8829640255533,-71.3393157937367,"<b>Adams Female Academy</b><br>Derry, NH, circa 1822<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRqump5_BJvQbgQ2ObhpNVRdpECMLzdgxj-OC98YvyFFrLbFeudu3xjeFUwo-_yAi35G1xdDNyezRQ4/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe <br> Now on view at the <a href='https://www.oldstonehousemuseum.org/'>Old Stone House Museum</a></small>",https://docs.google.com/drawings/d/e/2PACX-1vRqump5_BJvQbgQ2ObhpNVRdpECMLzdgxj-OC98YvyFFrLbFeudu3xjeFUwo-_yAi35G1xdDNyezRQ4/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe <br> Now on view at the <a href='https://www.oldstonehousemuseum.org/'>Old Stone House Museum</a>,yes,yes,"c(42.8829640255533, -71.3393157937367)"
Litchfield House,1830,"Durham, ME",E.J. Gilbert,mural,Lefko,other,other,43.9747034445589,-70.1120344119635,"<b>Litchfield House</b><br>Durham, ME, circa 1830<br>Attributed to E.J. Gilbert by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSAPe7IbBL9M0e90483IjZ_-XuacUjG96BGk8ontQhl5vO85TSnL0ZpHYPGAgUfmG8a7szRt3PU6Y1K/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSAPe7IbBL9M0e90483IjZ_-XuacUjG96BGk8ontQhl5vO85TSnL0ZpHYPGAgUfmG8a7szRt3PU6Y1K/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(43.9747034445589, -70.1120344119635)"
Noyes-Ide House,1825,"East Bath, NH",Porter School,mural,Lefko,school,school,44.1638105534168,-71.979300303613,"<b>Noyes-Ide House</b><br>East Bath, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSPaAdgC6psxh_g2ZU9UuaYfhxWrQXjuIaQ6s7EE6o3f0FdcpAZxVJ6EcrqtEUaW2MKFkgSkPOyaZbK/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSPaAdgC6psxh_g2ZU9UuaYfhxWrQXjuIaQ6s7EE6o3f0FdcpAZxVJ6EcrqtEUaW2MKFkgSkPOyaZbK/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.1638105534168, -71.979300303613)"
Hill House,1830,"Greene, ME",Porter School,mural,Lefko,school,school,44.1857171092317,-70.1321385205696,"<b>Hill House</b><br>Greene, ME, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://media.vrbo.com/lodging/31000000/30480000/30470300/30470287/b12add9f.f10.jpg', width = '300'><br><small>Now a <a href='https://www.vrbo.com/7363416ha?preferlocale=true&vgdc=HAUS'>VRBO Property</a></small>",https://media.vrbo.com/lodging/31000000/30480000/30470300/30470287/b12add9f.f10.jpg,Now a <a href='https://www.vrbo.com/7363416ha?preferlocale=true&vgdc=HAUS'>VRBO Property</a>,yes,yes,"c(44.1857171092317, -70.1321385205696)"
"Stephen Parker, Jr. House",1830,"Groveland, MA",Porter School,mural,Lefko,school,school,42.7573877899199,-71.0376238448298,"<b>Stephen Parker, Jr. House</b><br>Groveland, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.7573877899199, -71.0376238448298)"
Elijah Wyman House,1825,"Hancock, NH",Porter School,mural,Lefko,school,school,42.972142028435,-71.989324073566,"<b>Elijah Wyman House</b><br>Hancock, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSxQUbdsFXoRVds2UEVI4Sfgui35K-6LbD1o6BQ-ZAqmhICc0Uq6_8HmXwVHyVf__JGqmomqCXnZm0t/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSxQUbdsFXoRVds2UEVI4Sfgui35K-6LbD1o6BQ-ZAqmhICc0Uq6_8HmXwVHyVf__JGqmomqCXnZm0t/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.972142028435, -71.989324073566)"
Captain Thomas Dodge House,1810,"Lisbon, NH",Bears and Pears Artist,mural,Lefko,other,other,44.2155708483292,-71.9010782654702,"<b>Captain Thomas Dodge House</b><br>Lisbon, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTXLZ20ysk-Yf5JL-ID76ts4TMkt_SUzAQlayDYKqA7m7gwOBq-0tFZd-BqnB8-Mw3LxlTlZLRygHof/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTXLZ20ysk-Yf5JL-ID76ts4TMkt_SUzAQlayDYKqA7m7gwOBq-0tFZd-BqnB8-Mw3LxlTlZLRygHof/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.2155708483292, -71.9010782654702)"
Littleton Inn,1810,"Littleton, NH",Bears and Pears Artist,mural,Lefko,other,other,44.3080147084129,-71.7804686283504,"<b>Littleton Inn</b><br>Littleton, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSNJsVso5EAJAgVUCdk3AebWWpZk_O-uXptYO4QTOjQn4r-e3e02E_1ddSNXbLmvyccy1rJG_ekKDr2/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSNJsVso5EAJAgVUCdk3AebWWpZk_O-uXptYO4QTOjQn4r-e3e02E_1ddSNXbLmvyccy1rJG_ekKDr2/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.3080147084129, -71.7804686283504)"
Perley House,1830,"Naples, ME",Porter School,mural,Lefko,school,school,43.9842426460191,-70.6147741261715,"<b>Perley House</b><br>Naples, ME, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSUiR_rIUjjPjQhD_MYHeQ6FnDPuOE032GbiDs76bZ1SV40T1ebC6Lx5d0VyJrp9icHt1LIgIKQGBKw/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSUiR_rIUjjPjQhD_MYHeQ6FnDPuOE032GbiDs76bZ1SV40T1ebC6Lx5d0VyJrp9icHt1LIgIKQGBKw/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(43.9842426460191, -70.6147741261715)"
Barker House,1835,"North Leeds, ME",Porter School,mural,Lefko,school,school,44.3436123417473,-70.1416446098324,"<b>Barker House</b><br>North Leeds, ME, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRrbA5PGqz3UB3TmGcf4Pvz82a26LO9Wy5jtCgSn0JmDS51d-ADNBmTCTGXjCXec1FE89HcCfiVh8IB/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRrbA5PGqz3UB3TmGcf4Pvz82a26LO9Wy5jtCgSn0JmDS51d-ADNBmTCTGXjCXec1FE89HcCfiVh8IB/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.3436123417473, -70.1416446098324)"
