subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,geometry
Bidwell Tavern,1824,"Langdon, NH",Porter School,mural,Lipman,school,school,43.1702989027733,-72.3745717104399,"<b>Bidwell Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.1702989027733, -72.3745717104399)"
Beale House,1824,"Orford, NH",Porter School,mural,Lipman,school,school,43.8996025369797,-72.1309830988599,"<b>Beale House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.8996025369797, -72.1309830988599)"
Neighborhood House,1825,"Dover, NH",Porter School,mural,Lipman,school,school,43.199760050076,-70.8827192336555,"<b>Neighborhood House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.199760050076, -70.8827192336555)"
Squire Craigin House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9466738991828,-71.8589504732762,"<b>Squire Craigin House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.9466738991828, -71.8589504732762)"
James T. Garvin House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9542561285325,-71.8616530008933,"<b>James T. Garvin House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.9542561285325, -71.8616530008933)"
Eliot Hutchinson House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9537712294746,-71.8727553275425,"<b>Eliot Hutchinson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.9537712294746, -71.8727553275425)"
Patricia Holsaert House,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9762345800644,-71.9929278770132,"<b>Patricia Holsaert House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"c(42.9762345800644, -71.9929278770132)"
Cynthia Porter Weston House,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9699547739074,-71.9828038614847,"<b>Cynthia Porter Weston House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.9699547739074, -71.9828038614847)"
John Hancock Inn,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9704931715124,-71.9704103694546,"<b>John Hancock Inn</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1', width = '200'><br><small>Image from ""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamiltoon</small>",https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1,"""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamiltoon","c(42.9704931715124, -71.9704103694546)"
Grace D. Wilson-Lavery House,1825,"Haverhill, NH",Porter School,mural,Lipman,school,school,44.0365570834727,-72.0743882956716,"<b>Grace D. Wilson-Lavery House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.0365570834727, -72.0743882956716)"
Frederick Wagner House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8111155573148,-72.1652879696308,"<b>Frederick Wagner House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.8111155573148, -72.1652879696308)"
Dennis House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8117146480836,-72.1519218195609,"<b>Dennis House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.8117146480836, -72.1519218195609)"
Perkins-Simmons House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8111161739496,-72.158242376301,"<b>Perkins-Simmons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.8111161739496, -72.158242376301)"
Kent-Mativia House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8077813218032,-72.1477340896133,"<b>Kent-Mativia House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://upload.wikimedia.org/wikipedia/commons/5/5a/Rufus_Porter_mural_-_Kent_House%2C_Lyme%2C_New_Hampshire.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",https://upload.wikimedia.org/wikipedia/commons/5/5a/Rufus_Porter_mural_-_Kent_House%2C_Lyme%2C_New_Hampshire.jpg,Wikimedia Commons,"c(43.8077813218032, -72.1477340896133)"
Asher Tarbell House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7440901592766,-71.7677934917645,"<b>Asher Tarbell House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7440901592766, -71.7677934917645)"
Jonathan Batchelder House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7423381695636,-71.7583265312065,"<b>Jonathan Batchelder House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7423381695636, -71.7583265312065)"
Joseph Saunders House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7414056244534,-71.7750068134019,"<b>Joseph Saunders House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7414056244534, -71.7750068134019)"
Solomon Russell House,1825,"New Ipswich, NH",Porter School,mural,Lipman,school,school,42.7396534070934,-71.8804612328391,"<b>Solomon Russell House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7396534070934, -71.8804612328391)"
Gardner Davis House,1825,"New Ipswich, NH",Porter School,mural,Lipman,school,school,42.7361986816814,-71.8729640876741,"<b>Gardner Davis House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7361986816814, -71.8729640876741)"
Gould-Chickering House,1825,"New Ipswich, NH",Porter School,mural,Lipman,school,school,42.738177799324,-71.8809029743965,"<b>Gould-Chickering House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.738177799324, -71.8809029743965)"
Daniel Carr House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.0834140180051,-72.010377201563,"<b>Daniel Carr House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"c(44.0834140180051, -72.010377201563)"
Harold Kimball House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.085769318706,-72.018940051366,"<b>Harold Kimball House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.085769318706, -72.018940051366)"
Leslie Lackie House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.0825591433499,-72.0159681574689,"<b>Leslie Lackie House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.0825591433499, -72.0159681574689)"
Deacon John Bailey House,1827,"Portland, ME",Porter School,mural,Lipman,school,school,43.6612075799153,-70.2599994787614,"<b>Deacon John Bailey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1827<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(43.6612075799153, -70.2599994787614)"
Ellis Place,1827,"Portland, ME",Porter School,mural,Lipman,school,school,43.6604281767426,-70.2596775956587,"<b>Ellis Place</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1827<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6604281767426, -70.2596775956587)"
Bartlett House,1830,"Amesbury, MA",Porter School,mural,Lipman,school,school,42.8617809355879,-70.9213693803266,"<b>Bartlett House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.8617809355879, -70.9213693803266)"
Penniman-Stearns House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4916364149688,-71.2741854083621,"<b>Penniman-Stearns House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4916364149688, -71.2741854083621)"
Jonas Monroe House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4928696651963,-71.2636678649562,"<b>Jonas Monroe House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4928696651963, -71.2636678649562)"
Dutton House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4919957845671,-71.2828263207126,"<b>Dutton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.4919957845671, -71.2828263207126)"
Carroll Dunham House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4891359542486,-71.2723199068603,"<b>Carroll Dunham House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4891359542486, -71.2723199068603)"
Job Lane House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4923216768498,-71.2643530735277,"<b>Job Lane House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg', width = '200'><br><small>Image from Job Lane Farm Museum</small>",https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg,Job Lane Farm Museum,"c(42.4923216768498, -71.2643530735277)"
Donald Schult House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5621025200078,-71.2664638917012,"<b>Donald Schult House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5621025200078, -71.2664638917012)"
Lyons House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5558702311118,-71.2577025067111,"<b>Lyons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5558702311118, -71.2577025067111)"
Dyer House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5612956333062,-71.2703910449357,"<b>Dyer House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5612956333062, -71.2703910449357)"
Manning Manse,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5624884474828,-71.2821671166935,"<b>Manning Manse</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5624884474828, -71.2821671166935)"
Ingalls-Colby House,1830,"East Haverhill, MA",Porter School,mural,Lipman,school,school,42.7542404681385,-71.1117963418031,"<b>Ingalls-Colby House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","c(42.7542404681385, -71.1117963418031)"
Harold Stacey House,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.764145558088,-71.0311620199741,"<b>Harold Stacey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.764145558088, -71.0311620199741)"
Savery Homestead,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7637939024935,-71.0362874307932,"<b>Savery Homestead</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.7637939024935, -71.0362874307932)"
Spofford House,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7608693544777,-71.042260904244,"<b>Spofford House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7608693544777, -71.042260904244)"
Edna Worthing Cottage,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7638532438736,-71.0394970408343,"<b>Edna Worthing Cottage</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7638532438736, -71.0394970408343)"
"Stephen Parker, Jr. House",1830,"Groveland, MA",Porter School,mural,Lefko,school,school,42.7570408919637,-71.0271209194142,"<b>Stephen Parker, Jr. House</b><br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.7570408919637, -71.0271209194142)"
