town,state,year (default to earliest date),subject,creator,type,year_restored,fig_num (in Lipman),Signed?
Andover,MA,1830,Timothy Flagg,Rufus Porter,watercolor,NA,,
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,watercolor,NA,,
Andover,MA,1830,John Flagg,Rufus Porter,watercolor,NA,,
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,watercolor,NA,,
Amesbury,MA,1830,Bartlett,Porter,fresco,NA,,
Bedford,MA,1830,Penniman-Stearns,Porter,fresco,NA,,
Bedford,MA,1830,Jonas Monroe,Porter,fresco,NA,,
Bedford,MA,1830,Dutton,Porter,fresco,NA,,
Bedford,MA,1830,Carroll Dunham,Porter,fresco,NA,,
Bedford,MA,1830,Job Lane,Porter,fresco,NA,,
Billerica,MA,1830,Donald Schult,Porter,fresco,NA,,
Billerica,MA,1830,Lyons,Porter,fresco,NA,,
Billerica,MA,1830,Dyer,Porter,fresco,NA,,
Billerica,MA,1830,Manning Manse,Porter,fresco,NA,,
East Haverhill,MA,1830,Ingalls-Colby,Porter,fresco,NA,72,
Groveland,MA,1830,Harold Stacey,Porter,fresco,NA,,
Groveland,MA,1830,Savery Homestead,Porter,fresco,NA,,
Groveland,MA,1830,Spofford,Porter,fresco,NA,,
Groveland,MA,1830,Edna Worthing Cottage,Porter,fresco,NA,,
Harvard,MA,1830,Joseph E. Lamborghini,Porter,fresco,1948,,
Harvard,MA,1830,R. Raynond Warren Apartments,Porter,fresco,1950,,
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter,fresco,NA,,
Harvard,MA,1830,Fruitlands Museums,Porter,fresco,NA,color plate 8,
Lexington,MA,1830,Joshua Simons,Porter,fresco,NA,,
Lunenburg,MA,1830,Faith Gardner,Porter,fresco,NA,76,
Merrimac,MA,1830,Sargent,Porter,fresco,1965,,
Merrimacport,MA,1830,Ronald Shaw,Porter,fresco,NA,,
Sturbridge,MA,1830,Oliver Wight,Porter,fresco,1948,,
Townsend,MA,1830,Charles A. Smith,Porter,fresco,NA,,
Townsend,MA,1830,Reed Mansion,Porter,fresco,NA,,
Bridgton,ME,1830,Deacon Libby,Porter,fresco,NA,,
Buxton,ME,1830,Carroll Rounds,Porter,fresco,NA,,
Buxton,ME,1830,A.I. Poulsen,Porter,fresco,NA,,
Cornish,ME,1830,Thompkins,Porter,fresco,NA,,
Farmington,ME,1830,Jonathan Cushman,Jonathan D. Poor and Paine,fresco,NA,,
Farmington,ME,1830,William Gilman,Jonathan D. Poor and Paine,fresco,NA,,
Farmington,ME,1830,David Ingham,Jonathan D. Poor and Paine,fresco,NA,,
Farmington,ME,1830,Robert C. Bruce,Jonathan D. Poor and Paine,fresco,NA,,
Farmington Falls,ME,1830,Russ,Jonathan D. Poor and Paine,fresco,NA,96,
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,fresco,NA,"color plate 14, color plate 15",
Fryeburg,ME,1830,Warren-Towle,Porter,fresco,NA,,
Gorham,ME,1830,Dr. Files,Porter,fresco,NA,,
Hollis Center,ME,1830,Quillcote,Porter,fresco,1910,"70, 71",
Lewiston,ME,1830,H.O. Wood,Orison Wood,fresco,NA,,
Lewiston,ME,1830,Howard W. Mann,Orison Wood,fresco,NA,,
Limerick,ME,1830,McDonald Inn,Paine,fresco,NA,,
Limerick,ME,1830,Furlong,Paine,fresco,NA,,
Monmouth,ME,1830,Simon Martson,Porter,fresco,NA,,
North Parsonfield,ME,1830,Curtis M. Sweat,Jonathan D. Poor and Paine,fresco,NA,"color plate 19, color plate 20",
North Parsonfield,ME,1830,Frank Chapman,Jonathan D. Poor and Paine,fresco,NA,,
North Parsonfield,ME,1830,Helen Cating,Jonathan D. Poor and Paine,fresco,NA,,
North Parsonfield,ME,1830,Dr. William Reid,Jonathan D. Poor and Paine,fresco,NA ,,
Parsonfield,ME,1830,Dalton,Paine,fresco,NA,,
Parsonfield,ME,1830,Chillis,Jonathan D. Poor,fresco,NA,,
South Bridgton,ME,1830,Ingalls,Porter,fresco,NA,,
Standish,ME,1830,Warren Pederson,Jonathan D. Poor,fresco,NA,color plate 17,
Standish,ME,1830,Barbara E. Parker,Paine,fresco,NA,,
Turner,ME,1830,Captain Leavitt,Orison Wood,fresco,NA,,
Turner,ME,1830,Unidentified,Orison Wood,fresco,NA,,
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,fresco,NA,93,
West Auburn,ME,1830,Otis B. Tibbets,Orison Wood,fresco,1950,,
Westbrook,ME,1830,Zebulon Trickey,Porter,fresco,NA,,
Winthrop,ME,1830,Frank Hanson,Unknown,fresco,NA,,
Winthrop,ME,1830,Knowlton,E.J. Gilbert,fresco,NA,100,
Winthrop,ME,1830,Captain Samuel Benjamin,Porter,fresco,NA,color plate 13,
Topsham,VT,1831,Elwin Chase,Porter,fresco,NA,color plate 10,
Georgetown,MA,1832,G. Arthur Merrill,Porter,fresco,NA,,
Georgetown,MA,1832,Pingree,Porter,fresco,1937,,
Georgetown,MA,1832,Pierce,Porter,fresco,NA,,
Georgetown,MA,1832,Ethel M. Fredrick,Porter,fresco,1967,,
Georgetown,MA,1832,John C. Wilkins,Porter,fresco,NA,,
Vienna,ME,1833,Nathaniel Whittier,Jonathan D. Poor,fresco,NA,,
Vienna,ME,1833,Gilman Batchelder,Jonathan D. Poor,fresco,NA,,
Vienna,ME,1833,Unidentified,Jonathan D. Poor,fresco,NA,,
Chesterville,ME,1834,Professor Diller,Jonathan D. Poor,fresco,NA,,
Chesterville,ME,1834,Fuller Dyke,Jonathan D. Poor,fresco,NA,,
Chesterville,ME,1834,Captain Thomas Williams,Jonathan D. Poor,fresco,1952,,
Chesterville,ME,1834,Lyman Whittier,Jonathan D. Poor,fresco,NA,,
Chesterville,ME,1834,Thomas Austin,Jonathan D. Poor,fresco,NA,,
Plainville,CT,1835,Lottie Hills,Rufus Porter,watercolor,NA,"58, 59",
Andover,MA,1835,Poor-Perry,Porter,fresco,1916,,
Charlestown,MA,1835,Levi Prosser,Porter,fresco,NA,,
Groton,MA,1835,Donald L. Priest,Johnathan D. Poor,fresco,NA,95,
Groton,MA,1835,Dr. Harold Ayers,Johnathan D. Poor,fresco,1935,,
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter,fresco,NA,color plate 9,
North Reading,MA,1835,Frances Shay Mague,Porter,fresco,NA,,
North Reading,MA,1835,Weeks Memorial Library,Porter,fresco,1970,,
North Reading,MA,1835,House near Route 28,Porter,fresco,NA,,
Wakefield,MA,1835,Emerson ,Porter,fresco,NA,"89, 90, color plate 11",
Wakefield,MA,1835,Winn,Porter,fresco,1910,,
Wakefield,MA,1835,Franklin Poole,Porter,fresco,NA,,
Wakefield,MA,1835,Lilly Eaton,Porter,fresco,NA,,
Wakefield,MA,1835,Thomas Walton,Porter,fresco,NA,,
Wakefield,MA,1835,Kenneth Odiorne ,Porter,fresco,NA,,
Woburn,MA,1835,Shaker Glenn Inn,Porter,fresco,NA,,
Bethel,ME,1835,Dr. Moses Mason,Jonathan D. Poor,fresco,NA,color plate 18,
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,fresco,NA,,
Fairbanks,ME,1835,Milton Gay,Jonathan D. Poor and Paine,fresco,NA,97,
Fairbanks,ME,1835,Gerald York,Jonathan D. Poor,fresco,NA,,
Fairbanks,ME,1835,Benjamin Stanley,Jonathan D. Poor,fresco,NA,,
Fairbanks,ME,1835,David E. Currier,Jonathan D. Poor,fresco,1967,,
Fayette,ME,1835,Lieutenant John Lovejoy,Jonathan D. Poor,fresco,NA,,
Mt. Vernon,ME,1835,Burbank,Jonathan D. Poor,fresco,NA,,
Mt. Vernon,ME,1835,Arthur Gordon,Jonathan D. Poor,fresco,NA,,
Readfield,ME,1835,Captain Dudley Haines,Jonathan D. Poor,fresco,NA,"color plate 21, color plate 22",
Readfield,ME,1835,Judge Bean,Jonathan D. Poor,fresco,NA,,
Strong,ME,1835,William McClary,Jonathan D. Poor,fresco,NA,,
West Mt. Vernon,ME,1835,Leon H. Marr,Jonathan D. Poor,fresco,NA,,
West Mt. Vernon,ME,1835,Unidentified,Jonathan D. Poor,fresco,NA,,
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,watercolor,NA,,
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,watercolor,NA,"67, 68",
West Boxford,MA,1838,John A. Andrew,Porter,fresco,NA,color plate 12,
West Boxford,MA,1838,Joseph Burgson,Porter,fresco,NA,,
West Boxford,MA,1838,Hovey,Porter,fresco,NA,,
Westwood,MA,1838,Dr. Francis Howe,Rufus Porter and Stephen Twombly Porter,fresco,NA,"81-84, color plate 16",yes
Westwood,MA,1838,E.A. West,Rufus Porter and Stephen Twombly Porter,fresco,NA,"78, 79",
Westwood,MA,1838,Reuben Guild,Rufus Porter and Stephen Twombly Porter,fresco,NA,,
Westwood,MA,1838,Storer Ware,Rufus Porter and Stephen Twombly Porter,fresco,NA,,
Westwood,MA,1838,Allen,Rufus Porter and Stephen Twombly Porter,fresco,NA,,
East Baldwin,ME,1840,Lorenzo Norton,Jonathan D. Poor,fresco,NA,,
New Sharon,ME,1840,Robert C. Bruce,Jonathan D. Poor,fresco,NA,,
Rumford,ME,1840,Phil Baker,Jonathan D. Poor,fresco,NA,,
Boston,MA,1843,Beacon Hill Boarding House,Porter,fresco,NA,,
East Weymouth,MA,1845,Senigo,Porter,fresco,NA,,
Gorham,ME,1851,Fox,Granville Fernald,fresco,1965,,
Westbrook,ME,1851,Pride,Granville Fernald,fresco,NA,,
