event_order,year,event,type,art_type,location
113,1855,Moved to Springfield,residence,NA,"Springfield, MA"
114,1856,Patented a punching machine,patent,NA,NA
115,1856,Patented a fog whistle,patent,NA,NA
116,1857,Patented two automatic grain-weighing machines,patent,NA,NA
117,1858,Patented a steam engine,patent,NA,NA
118,1859,Patented a blind fastener,patent,NA,NA
119,1859,Son Frank Rufus born,life,NA,NA
120,1861,Patented apparatus for elevating liquids by retained power,patent,NA,NA
121,1861,Moved to Melrose,residence,NA,"Melrose, MA"
122,1863,Patented an air pump,patent,NA,NA
123,1865,Moved to Malden,residence,NA,"Malden, MA"
124,1865,Patented a fan blower,patent,NA,NA
125,1869,Move to NYC,residence,NA,"New York, NY"
126,1869,Made plans for construction of an improved airship,science,NA,NA
127,1871,Move to Bristol,residence,NA,"Bristol, CT"
128,1871,Patented a vise,patent,NA,NA
129,1872,Moved to Plantsville,residence,NA,"Plantsville, CT"
130,1872,Religious writings,publishing,NA,NA
131,1872,Invented and sold a cam lever vise,science,NA,NA
132,1873,Moved to West Birmingham,residence,NA,"West Birmingham, CT"
133,1873,Soliciting shares for his airship,occupation,NA,"West Birmingham, CT"
134,1878,Address,residence,NA,"Water Street, West Haven, CT"
135,1878,Applied for and received pension as veteran of War of 1812,occupation,NA,NA
136,1879,Manufacturing and selling improved clothes driers,occupation,NA,NA
137,1880,Moved back to Bristol,residence,NA,"Bristol, CT"
138,1884,Visited son Frank Rufus ,life,NA,"West Haven, CT"
139,1884,Died on 13 August,life,NA,"West Haven, CT"
140,1884,Grave site,residence,NA,"Oak Grove Cemetery, West Haven, CT"
