subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
Arthur Gordon House,1835,"Mt. Vernon, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.4993055889072,-69.9875877132208,"<b>Arthur Gordon House</b><br>Mt. Vernon, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=745', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=745,House burned down.,no,"c(44.4993055889072, -69.9875877132208)"
Unidentified House,1830,"Turner, ME",Orison Wood,mural,Lipman,other,other,44.252466836339,-70.2595206477651,"<b>Unidentified House</b><br>Turner, ME, circa 1830<br>Attributed to Orison Wood by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=758', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=758,House burned down.,no,"c(44.252466836339, -70.2595206477651)"
Dennis House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8091898035503,-72.166619078682,"<b>Dennis House</b><br>Lyme, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=776', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=776,House burned down.,no,"c(43.8091898035503, -72.166619078682)"
Ellis Place,1827,"Portland, ME",Porter School,mural,Lipman,school,school,43.6575571947016,-70.2454326857374,"<b>Ellis Place</b><br>Portland, ME, circa 1827<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=783', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=783,House burned down.,no,"c(43.6575571947016, -70.2454326857374)"
Dyer House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5620398937084,-71.2583170852835,"<b>Dyer House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=789', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=789,House burned down.,no,"c(42.5620398937084, -71.2583170852835)"
Hovey House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7050658929078,-71.0701309375403,"<b>Hovey House</b><br>West Boxford, MA, circa 1838<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=821', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=821,House burned down.,no,"c(42.7050658929078, -71.0701309375403)"
Lilly Eaton House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5003876259427,-71.0847364700712,"<b>Lilly Eaton House</b><br>Wakefield, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=817', width = '300'><br><small>House demolished in 1913.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=817,House demolished in 1913.,no,"c(42.5003876259427, -71.0847364700712)"
Unidentified House,1835,"West Mt. Vernon, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4518175720947,-70.0130387983406,"<b>Unidentified House</b><br>West Mt. Vernon, ME, circa 1835<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=724', width = '300'><br><small>House demolished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=724,House demolished.,no,"c(44.4518175720947, -70.0130387983406)"
Leon H. Marr House,1835,"West Mt. Vernon, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4565720148816,-70.0202418179554,"<b>Leon H. Marr House</b><br>West Mt. Vernon, ME, circa 1835<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=728', width = '300'><br><small>House demolished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=728,House demolished.,no,"c(44.4565720148816, -70.0202418179554)"
Furlong House,1830,"Limerick, ME",Paine,mural,tradition,other,other,43.6855386817475,-70.7834428107423,"<b>Furlong House</b><br>Limerick, ME, circa 1830<br>Traditionally attributed to Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=765', width = '300'><br><small>House demolished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=765,House demolished.,no,"c(43.6855386817475, -70.7834428107423)"
Thompkins House,1830,"Cornish, ME",Porter School,mural,tradition,school,school,43.8056188919773,-70.8140756213184,"<b>Thompkins House</b><br>Cornish, ME, circa 1830<br>Traditionally attributed to Porter School<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=824', width = '300'><br><small>House demolished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=824,House demolished.,no,"c(43.8056188919773, -70.8140756213184)"
Tidd House,1835,"Woburn, MA",Porter School,mural,Lipman,school,school,42.4756058095194,-71.1625841705166,"<b>Tidd House</b><br>Woburn, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=831', width = '300'><br><small>House demolished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=831,House demolished.,no,"c(42.4756058095194, -71.1625841705166)"
Pride House,1851,"Westbrook, ME",Granville Fernald,mural,Lipman,other,other,43.6800498236388,-70.366895498218,"<b>Pride House</b><br>Westbrook, ME, circa 1851<br>Attributed to Granville Fernald by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=723', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=723,Image Unavailable,no,"c(43.6800498236388, -70.366895498218)"
David E. Currier House,1835,"Farmington, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.6708445155196,-70.1630044016574,"<b>David E. Currier House</b><br>Farmington, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=744', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=744,Image Unavailable,no,"c(44.6708445155196, -70.1630044016574)"
Robert C. Bruce House,1830,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6694644863523,-70.1440605528745,"<b>Robert C. Bruce House</b><br>Farmington, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=754', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=754,Image Unavailable,no,"c(44.6694644863523, -70.1440605528745)"
H.O. Wood House,1830,"Lewiston, ME",Orison Wood,mural,Lipman,other,other,44.1009934983859,-70.226639931333,"<b>H.O. Wood House</b><br>Lewiston, ME, circa 1830<br>Attributed to Orison Wood by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=755', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=755,Image Unavailable,no,"c(44.1009934983859, -70.226639931333)"
Howard W. Mann House,1830,"Lewiston, ME",Orison Wood,mural,Lipman,other,other,44.1012751261898,-70.2033320776104,"<b>Howard W. Mann House</b><br>Lewiston, ME, circa 1830<br>Attributed to Orison Wood by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=756', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=756,Image Unavailable,no,"c(44.1012751261898, -70.2033320776104)"
Barbara E. Parker House,1830,"Standish, ME",Paine,mural,tradition,other,other,43.7385517710726,-70.5556517566234,"<b>Barbara E. Parker House</b><br>Standish, ME, circa 1830<br>Traditionally attributed to Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=766', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=766,Image Unavailable,no,"c(43.7385517710726, -70.5556517566234)"
Don Pierce House,1824,"East Jaffrey, NH",Porter School,mural,Lipman,school,school,42.8119037159275,-72.0335628321809,"<b>Don Pierce House</b><br>East Jaffrey, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=768', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=768,Image Unavailable,no,"c(42.8119037159275, -72.0335628321809)"
Miss Mary and Dr. Fredrika Moore House,1824,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9708945832083,-71.9687104296378,"<b>Miss Mary and Dr. Fredrika Moore House</b><br>Hancock, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=769', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=769,Image Unavailable,no,"c(42.9708945832083, -71.9687104296378)"
Cynthia Porter Weston House,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9773069245682,-71.9793557847556,"<b>Cynthia Porter Weston House</b><br>Hancock, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=773', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=773,Image Unavailable,no,"c(42.9773069245682, -71.9793557847556)"
Carroll Dunham House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.48847173202,-71.2663847506131,"<b>Carroll Dunham House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=786', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=786,Image Unavailable,no,"c(42.48847173202, -71.2663847506131)"
Joshua Simons House,1830,"Lexington, MA",Porter School,mural,Lipman,school,school,42.4512592249071,-71.2373593128995,"<b>Joshua Simons House</b><br>Lexington, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=795', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=795,Image Unavailable,no,"c(42.4512592249071, -71.2373593128995)"
Carroll Rounds House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.6339676571567,-70.5238122181209,"<b>Carroll Rounds House</b><br>Buxton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=800', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=800,Image Unavailable,no,"c(43.6339676571567, -70.5238122181209)"
A.I. Poulsen House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.6342905719981,-70.5147460720429,"<b>A.I. Poulsen House</b><br>Buxton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=801', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=801,Image Unavailable,no,"c(43.6342905719981, -70.5147460720429)"
